=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:70.22,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:70.39,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:70.49,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:70.59,Duty:100.00,
Time:0:0:10,Ideal:71.14,Setpoint:95.50,Temperature:70.73,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:70.87,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:70.97,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.11,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.21,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.35,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.45,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.59,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.72,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.79,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:71.96,Duty:100.00,
Time:0:0:11,Ideal:73.14,Setpoint:95.50,Temperature:72.03,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.17,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.27,Duty:100.00,
Time:0:0:12,Ideal:75.14,Setpoint:95.50,Temperature:72.41,Duty:100.00,
